,0,1,2,3,4,5,accuracy,macro avg,weighted avg
precision,0.24390243902439024,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.04065040650406504,0.0594883997620464
recall,1.0,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.16666666666666666,0.24390243902439024
f1-score,0.39215686274509803,0.0,0.0,0.0,0.0,0.0,0.24390243902439024,0.06535947712418301,0.09564801530368244
support,20.0,18.0,8.0,7.0,19.0,10.0,0.24390243902439024,82.0,82.0
