,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.06446540880503145,0.14285714285714285,0.0,0.03676470588235294,0.0,0.0,0.0,0.0,0.04900181488203267,0.16666666666666666,0.06666666666666667,0.028089887640449437,0.0975609756097561,0.0,0.0,0.0,0.0502192108409725,0.039746520593362075,0.055871204350576506
recall,0.0,0.30597014925373134,0.06115107913669065,0.0,0.03676470588235294,0.0,0.0,0.0,0.0,0.17197452229299362,0.009615384615384616,0.03225806451612903,0.352112676056338,0.0196078431372549,0.0,0.0,0.0,0.0502192108409725,0.04971426713826356,0.0502192108409725
f1-score,0.0,0.10649350649350649,0.08564231738035263,0.0,0.03676470588235294,0.0,0.0,0.0,0.0,0.07627118644067796,0.018181818181818184,0.043478260869565216,0.05202913631633714,0.0326530612244898,0.0,0.0,0.0,0.0502192108409725,0.023042989359081188,0.030280264051914793
support,104.0,134.0,278.0,56.0,136.0,128.0,71.0,113.0,55.0,157.0,104.0,155.0,71.0,204.0,32.0,56.0,72.0,0.0502192108409725,2509.0,2509.0
