,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.25806451612903225,0.0,0.0,0.07142857142857142,0.22421711899791233,0.0,0.22399362295735353,0.09228503442591933,0.12500214892665037
recall,0.036308623298033284,0.0,0.0,0.004424778761061947,0.9487632508833922,0.0,0.22399362295735353,0.1649161088237479,0.22399362295735353
f1-score,0.0636604774535809,0.0,0.0,0.008333333333333331,0.36271529888551163,0.0,0.22399362295735353,0.07245151827873765,0.09934626070121559
support,661.0,503.0,261.0,226.0,566.0,292.0,0.22399362295735353,2509.0,2509.0
