,0,1,2,3,4,5,accuracy,macro avg,weighted avg
precision,0.25806451612903225,0.35,0.0,0.0,0.0,0.0,0.2804878048780488,0.10134408602150537,0.139771833202203
recall,0.8,0.3888888888888889,0.0,0.0,0.0,0.0,0.2804878048780488,0.19814814814814816,0.2804878048780488
f1-score,0.3902439024390244,0.36842105263157887,0.0,0.0,0.0,0.0,0.2804878048780488,0.12644415917843388,0.17605435361157204
support,20.0,18.0,8.0,7.0,19.0,10.0,0.2804878048780488,82.0,82.0
