,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,1.0,0.21028396009209516,0.1111111111111111,0.10849056603773585,0.21052631578947367,0.11247443762781185,0.18294141092068553,0.29214773177637127,0.38752177376445407
recall,0.0030257186081694403,0.5447316103379721,0.0038314176245210726,0.10176991150442478,0.18374558303886926,0.18835616438356165,0.18294141092068553,0.17091006758291974,0.18294141092068553
f1-score,0.006033182503770739,0.3034330011074197,0.007407407407407407,0.1050228310502283,0.19622641509433963,0.14084507042253522,0.18294141092068553,0.1264946512642835,0.13330974007552251
support,661.0,503.0,261.0,226.0,566.0,292.0,0.18294141092068553,2509.0,2509.0
