,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.3333333333333333,0.038461538461538464,0.0,0.0,0.0,0.044977511244377814,0.01834862385321101,0.0,0.0,0.1,0.038314176245210725,0.06880733944954129,0.0,0.019230769230769232,0.14285714285714285,0.04902351534475887,0.06289350121363174,0.08958038210550257
recall,0.0,0.0,0.0035971223021582736,0.05357142857142857,0.0,0.0,0.0,0.26548672566371684,0.18181818181818182,0.0,0.0,0.0064516129032258064,0.14084507042253522,0.07352941176470588,0.0,0.017857142857142856,0.013888888888888888,0.04902351534475887,0.04924547876374323,0.04902351534475887
f1-score,0.0,0.0,0.007117437722419929,0.04477611940298507,0.0,0.0,0.0,0.07692307692307693,0.03333333333333333,0.0,0.0,0.01212121212121212,0.06024096385542169,0.07109004739336494,0.0,0.01851851851851852,0.02531645569620253,0.04902351534475887,0.026739886384049522,0.03134308886543374
support,104.0,134.0,278.0,56.0,136.0,128.0,71.0,113.0,55.0,157.0,104.0,155.0,71.0,204.0,32.0,56.0,72.0,0.04902351534475887,2509.0,2509.0
