,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.12172573189522343,0.0,0.11764705882352941,0.0,0.0,0.041237113402061855,0.020151133501259445,0.02962962962962963,0.0,0.05865921787709497,0.0,0.0,0.006060606060606061,0.14285714285714285,0.02877697841726619,0.06058190514149064,0.03963258548762451,0.04967475102284718
recall,0.0,0.0,0.2841726618705036,0.0,0.014705882352941176,0.0,0.0,0.07079646017699115,0.14545454545454545,0.025477707006369428,0.0,0.13548387096774195,0.0,0.0,0.03125,0.017857142857142856,0.05555555555555555,0.06058190514149064,0.04672185788681086,0.06058190514149064
f1-score,0.0,0.0,0.17044228694714134,0.0,0.026143790849673203,0.0,0.0,0.05211726384364821,0.035398230088495575,0.027397260273972605,0.0,0.08187134502923978,0.0,0.0,0.010152284263959392,0.031746031746031744,0.037914691943127965,0.06058190514149064,0.02945400914897054,0.04000421558071667
support,104.0,134.0,278.0,56.0,136.0,128.0,71.0,113.0,55.0,157.0,104.0,155.0,71.0,204.0,32.0,56.0,72.0,0.06058190514149064,2509.0,2509.0
