epoch,dense_1_accuracy,dense_1_loss,dense_2_accuracy,dense_2_loss,dense_accuracy,dense_loss,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_2_accuracy,val_dense_2_loss,val_dense_accuracy,val_dense_loss,val_loss
0,0.08677826821804047,2.8389296531677246,0.06217970699071884,3.3591928482055664,0.28937479853630066,1.7280322313308716,7.926154136657715,0.09127142280340195,2.8125476837158203,0.055400557816028595,3.299872875213623,0.30848944187164307,1.7314388751983643,7.843860626220703
1,0.09139050543308258,2.807880401611328,0.06337547302246094,3.2620790004730225,0.29227879643440247,1.723183274269104,7.7931437492370605,0.08967716246843338,2.8630170822143555,0.05460342764854431,3.276702642440796,0.30848944187164307,1.7171578407287598,7.856876850128174
2,0.09344038367271423,2.791149616241455,0.06986675411462784,3.241626262664795,0.30133241415023804,1.7164380550384521,7.749215126037598,0.07971303164958954,2.8463809490203857,0.05380629748106003,3.2917418479919434,0.2937425374984741,1.7191760540008545,7.857298851013184
3,0.09531944245100021,2.780268430709839,0.0712333470582962,3.2215969562530518,0.30064913630485535,1.7127996683120728,7.714663028717041,0.08688720315694809,2.829322338104248,0.06297329813241959,3.30094051361084,0.30370664596557617,1.714953899383545,7.845214366912842
4,0.10232319682836533,2.7648096084594727,0.07499145716428757,3.1943345069885254,0.30252817273139954,1.7060705423355103,7.665212154388428,0.08848146349191666,2.8616859912872314,0.04025508090853691,3.349653720855713,0.29414108395576477,1.7415779829025269,7.952917098999023
5,0.11206012964248657,2.7386138439178467,0.08968226611614227,3.153870105743408,0.3037239611148834,1.695414423942566,7.587902069091797,0.09127142280340195,2.8240935802459717,0.05221203714609146,3.2941901683807373,0.2865683436393738,1.7188949584960938,7.837179183959961
6,0.12675094604492188,2.707176685333252,0.11206012964248657,3.0893185138702393,0.30816537141799927,1.6831163167953491,7.479611396789551,0.08489438146352768,2.831552267074585,0.06098046898841858,3.2993900775909424,0.2933439612388611,1.713236689567566,7.844180583953857
7,0.14229586720466614,2.6688766479492188,0.14161257445812225,3.0043764114379883,0.31602323055267334,1.6683158874511719,7.341568470001221,0.0765245109796524,2.831209897994995,0.06337185949087143,3.3094866275787354,0.27859705686569214,1.719062328338623,7.8597588539123535
8,0.15510761737823486,2.6307947635650635,0.17594806849956512,2.914836883544922,0.3220020532608032,1.653834581375122,7.199464321136475,0.08369868248701096,2.854604959487915,0.06377042829990387,3.3481101989746094,0.2670386731624603,1.7313861846923828,7.934101104736328
9,0.1737273633480072,2.5907833576202393,0.21011275053024292,2.824903964996338,0.3262726366519928,1.6400666236877441,7.055753707885742,0.09406138211488724,2.872054100036621,0.059784773737192154,3.391472339630127,0.27979275584220886,1.7340282201766968,7.997554779052734
10,0.18875981867313385,2.5546040534973145,0.23590707778930664,2.7397196292877197,0.3274683952331543,1.6311627626419067,6.925485610961914,0.08369868248701096,2.956447124481201,0.05898764356970787,3.5177042484283447,0.2821841239929199,1.747297763824463,8.221450805664062
11,0.20515885949134827,2.5182056427001953,0.2581140995025635,2.6458606719970703,0.33361804485321045,1.6204475164413452,6.784516334533691,0.0813072919845581,2.9487030506134033,0.05898764356970787,3.6020216941833496,0.2849740982055664,1.78087317943573,8.331597328186035
12,0.21694567799568176,2.4787437915802,0.2907413840293884,2.5366017818450928,0.3404509723186493,1.6114124059677124,6.626756191253662,0.07572738081216812,3.0304179191589355,0.057393383234739304,3.8262929916381836,0.24870465695858002,1.8792271614074707,8.735934257507324
