,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.24846625766871167,0.21435228331780057,0.0,0.08139534883720931,0.1829971181556196,0.11009174311926606,0.19170984455958548,0.13955045851643452,0.16985807155519642
recall,0.12254160363086233,0.4572564612326044,0.0,0.030973451327433628,0.22438162544169613,0.1232876712328767,0.19170984455958548,0.1597401354775789,0.19170984455958548
f1-score,0.16413373860182373,0.2918781725888325,0.0,0.04487179487179487,0.20158730158730157,0.11631663974151858,0.19170984455958548,0.1364646078985452,0.16481108775286965
support,661.0,503.0,261.0,226.0,566.0,292.0,0.19170984455958548,2509.0,2509.0
