,staright,forward bend,side bend,others,fronleg,behindleg,split,ffw bend,twist,front,side,legs straight up,legs bend,up-facing,down-facing,side-facing,plank balance,accuracy,macro avg,weighted avg
precision,0.7536231884057971,0.778169014084507,0.7883895131086143,0.7946428571428571,0.5393258426966292,0.6309523809523809,0.7457627118644068,0.6836734693877551,0.4,0.6318181818181818,0.5801526717557252,0.7253521126760564,0.7477477477477478,0.7428571428571429,0.8717948717948718,0.8064516129032258,0.67,0.6958819643250386,0.6988323628595001,0.7018311475626687
recall,0.7722772277227723,0.7673611111111112,0.8591836734693877,0.6742424242424242,0.6442953020134228,0.6516393442622951,0.6567164179104478,0.5877192982456141,0.41237113402061853,0.6150442477876106,0.562962962962963,0.7228070175438597,0.564625850340136,0.7103825136612022,0.7391304347826086,0.5617977528089888,0.6261682242990654,0.6958819643250386,0.6651699517470399,0.6958819643250386
f1-score,0.762836185819071,0.7727272727272727,0.822265625,0.7295081967213114,0.5871559633027522,0.6411290322580645,0.6984126984126985,0.6320754716981133,0.40609137055837563,0.6233183856502242,0.5714285714285714,0.7240773286467487,0.6434108527131783,0.7262569832402236,0.7999999999999999,0.662251655629139,0.6473429951690821,0.6958819643250386,0.6785157191495673,0.6961541586266558
support,202.0,288.0,490.0,132.0,298.0,244.0,134.0,228.0,97.0,226.0,135.0,285.0,147.0,366.0,92.0,89.0,107.0,0.6958819643250386,4541.0,4541.0
