,1.Eagle,2.Tree,3.Chair,4.Standing,5.Wide legged forward bend,6.Dolphin,7.Downward dog,8.Intese side stretch,9.Half moon,10.Extended triangle,11.Extended side angle,12.Gate,13.Warrior I.,14.ReverseWarrior,15.Low lunges,16.Warrior II,17.Warrior III,18.Lord of dance,19.Standing big-toe hold,20.Standing split,21.Easy sitting,22.Cobbler,23.Garland,24.Staff,25.Noose,26.Cow face,27.Hero and thunderbolt,28.Bhardwajas twist,29.Half lord of the fishes,30.Split,31.Wide angle seated forward bend,32.Head to knee,33.Revolvedhead-toknee,34.Seated forward bend,35.Tortoise pose,36.Shooting bow,37.Heron,38.King pigeon,39.Cranecrow,40.Shoulder pressing,41.Cockerel,42.Scale,43.Firefly,44.Side crane-crow,45.Eight angle,46.Sage Koundaniya,47.Handstand,48.Headstand,49.Shoulderstand,50.Feather peacock,51.Legs up to wall,52. Plow,53.Scorpion,54.Corpse,55.Fish,56.Happy baby,57.Reclining hand-to-big-toe,58.Wind relieving,59.Reclining cobbler,60.Reclining hero,61.Yogic sleep,62.Cobra,63.Frog,64.Locust,65.Child,66.Extended puppy,67.Side reclining leg lift,68.Side plank,69.Dolphin plank,70.Low plank (four limbedstaff,71.Plank,72.Peacockb ,73.Upward bow,74.Upward facing two- foot staff,75.Upward plank,76.Pigeon,77.Bridge,78.Wild things,79.Camel,80.Cat-cow,81. Boat,82. Bow,accuracy,macro avg,weighted avg
precision,0.42857142857142855,0.10256410256410256,0.6891891891891891,0.5254237288135594,0.7083333333333334,0.7586206896551724,0.8088235294117647,0.8085106382978723,0.6515151515151515,0.5892857142857143,0.7578125,0.34375,0.40540540540540543,0.4915254237288136,0.5957446808510638,0.07692307692307693,1.0,0.6385542168674698,0.5409836065573771,0.5357142857142857,0.8,0.7101449275362319,0.8440366972477065,0.48484848484848486,0.40350877192982454,0.47560975609756095,0.6274509803921569,0.5952380952380952,0.5121951219512195,0.6896551724137931,0.5616438356164384,0.632183908045977,0.48936170212765956,0.6,0.2631578947368421,0.5121951219512195,0.5348837209302325,0.5294117647058824,0.5076923076923077,0.7592592592592593,0.6785714285714286,0.07142857142857142,0.4444444444444444,0.5333333333333333,0.46153846153846156,0.8142857142857143,0.4,0.27906976744186046,0.6,0.673469387755102,0.6190476190476191,0.574468085106383,0.6075949367088608,0.35294117647058826,0.7,0.4074074074074074,0.7017543859649122,0.5586592178770949,0.5544554455445545,0.19444444444444445,0.6285714285714286,0.2777777777777778,0.6666666666666666,0.5168539325842697,0.582089552238806,0.43478260869565216,0.296875,0.2619047619047619,0.6060606060606061,0.686046511627907,0.5384615384615384,0.59375,0.44,0.7391304347826086,0.765625,0.6122448979591837,0.8333333333333334,0.6575342465753424,0.5897435897435898,0.2894736842105263,0.23333333333333334,0.4117647058823529,0.5769654261175953,0.5473008007583676,0.589464814091438
recall,0.42857142857142855,0.21052631578947367,0.6455696202531646,0.5535714285714286,0.6415094339622641,0.6285714285714286,0.7142857142857143,0.8260869565217391,0.6056338028169014,0.44,0.7028985507246377,0.28205128205128205,0.4918032786885246,0.3815789473684211,0.7,0.08333333333333333,0.07692307692307693,0.803030303030303,0.515625,0.625,0.5333333333333333,0.7716535433070866,0.7931034482758621,0.34782608695652173,0.46938775510204084,0.582089552238806,0.64,0.5952380952380952,0.38181818181818183,0.5714285714285714,0.6029411764705882,0.8088235294117647,0.46,0.6,0.24390243902439024,0.5833333333333334,0.5,0.6585365853658537,0.5892857142857143,0.7735849056603774,0.6229508196721312,0.2222222222222222,0.3870967741935484,0.6153846153846154,0.42857142857142855,0.7125,0.2702702702702703,0.3,0.4838709677419355,0.5892857142857143,0.3939393939393939,0.40298507462686567,0.5274725274725275,0.24,0.4375,0.44,0.547945205479452,0.6211180124223602,0.6511627906976745,0.4117647058823529,0.673469387755102,0.2777777777777778,0.7906976744186046,0.575,0.5735294117647058,0.44776119402985076,0.4318181818181818,0.275,0.5970149253731343,0.7283950617283951,0.35,0.6551724137931034,0.4074074074074074,0.6938775510204082,0.7424242424242424,0.6818181818181818,0.5208333333333334,0.7384615384615385,0.48936170212765956,0.3235294117647059,0.3333333333333333,0.358974358974359,0.5769654261175953,0.5223726068865874,0.5769654261175953
f1-score,0.42857142857142855,0.13793103448275865,0.6666666666666666,0.5391304347826087,0.6732673267326733,0.6875,0.7586206896551725,0.8172043010752688,0.6277372262773722,0.5038167938931297,0.7293233082706767,0.3098591549295775,0.4444444444444445,0.4296296296296297,0.6436781609195402,0.08,0.14285714285714288,0.7114093959731542,0.528,0.576923076923077,0.64,0.739622641509434,0.8177777777777778,0.4050632911392405,0.4339622641509434,0.523489932885906,0.6336633663366336,0.5952380952380952,0.43750000000000006,0.625,0.5815602836879432,0.7096774193548387,0.4742268041237113,0.6,0.25316455696202533,0.5454545454545454,0.5168539325842696,0.5869565217391304,0.5454545454545454,0.7663551401869159,0.6495726495726496,0.10810810810810811,0.41379310344827586,0.5714285714285715,0.4444444444444445,0.7599999999999999,0.3225806451612903,0.2891566265060241,0.5357142857142857,0.6285714285714286,0.48148148148148145,0.4736842105263158,0.5647058823529412,0.28571428571428564,0.5384615384615384,0.4230769230769231,0.6153846153846154,0.588235294117647,0.5989304812834225,0.2641509433962264,0.6502463054187192,0.2777777777777778,0.7234042553191489,0.544378698224852,0.5777777777777778,0.4411764705882353,0.35185185185185186,0.26829268292682923,0.6015037593984962,0.7065868263473054,0.4242424242424242,0.6229508196721311,0.4230769230769231,0.7157894736842104,0.7538461538461539,0.6451612903225806,0.6410256410256411,0.6956521739130435,0.5348837209302325,0.30555555555555564,0.27450980392156865,0.3835616438356165,0.5769654261175953,0.5242443766229004,0.5779940951878976
support,21.0,19.0,79.0,56.0,53.0,70.0,77.0,92.0,71.0,75.0,138.0,39.0,61.0,76.0,80.0,12.0,13.0,66.0,64.0,48.0,15.0,127.0,116.0,46.0,49.0,67.0,50.0,42.0,55.0,35.0,68.0,68.0,50.0,30.0,41.0,36.0,46.0,41.0,56.0,106.0,61.0,9.0,31.0,13.0,14.0,80.0,37.0,40.0,31.0,56.0,33.0,67.0,91.0,25.0,16.0,50.0,73.0,161.0,86.0,17.0,98.0,36.0,43.0,80.0,68.0,67.0,44.0,40.0,67.0,81.0,20.0,58.0,81.0,49.0,66.0,44.0,48.0,65.0,47.0,34.0,21.0,39.0,0.5769654261175953,4541.0,4541.0
