,standing,sitting,inverted,reclining,wheel,balancing,accuracy,macro avg,weighted avg
precision,0.8495370370370371,0.7408759124087592,0.7363636363636363,0.8058510638297872,0.7448648648648649,0.8262548262548263,0.7874917419070689,0.7839578901264851,0.7891909187419401
recall,0.86015625,0.8111888111888111,0.6731301939058172,0.7013888888888888,0.7856328392246295,0.7254237288135593,0.7874917419070689,0.7594867853369509,0.7874917419070689
f1-score,0.8548136645962734,0.7744396757272293,0.703328509406657,0.7499999999999999,0.7647058823529412,0.7725631768953068,0.7874917419070689,0.7699751514964013,0.786993290282702
support,1280.0,1001.0,361.0,432.0,877.0,590.0,0.7874917419070689,4541.0,4541.0
