epoch,dense_1_accuracy,dense_1_loss,dense_2_accuracy,dense_2_loss,dense_accuracy,dense_loss,loss,val_dense_1_accuracy,val_dense_1_loss,val_dense_2_accuracy,val_dense_2_loss,val_dense_accuracy,val_dense_loss,val_loss
0,0.09731005132198334,2.935649871826172,0.029353467747569084,4.369123935699463,0.2707881033420563,1.7205476760864258,9.025321960449219,0.08830653876066208,2.9506001472473145,0.026866329833865166,4.369617462158203,0.26998457312583923,1.7311102151870728,9.0513277053833
1,0.12222746759653091,2.8292055130004883,0.04464370012283325,4.230750560760498,0.29504483938217163,1.6822482347488403,8.742206573486328,0.08984804898500443,3.088055372238159,0.03413344919681549,4.411005020141602,0.20854437351226807,1.8021100759506226,9.301165580749512
2,0.16857008635997772,2.6898627281188965,0.07475224137306213,4.02049446105957,0.32741859555244446,1.6422346830368042,8.352591514587402,0.11737503111362457,3.202756404876709,0.05153049901127815,4.73765754699707,0.31468838453292847,1.7710720300674438,9.711484909057617
3,0.22652193903923035,2.4814155101776123,0.12336007505655289,3.7097268104553223,0.36611610651016235,1.5938467979431152,7.784993648529053,0.10063862800598145,3.760085105895996,0.04646553471684456,5.430959224700928,0.2600748836994171,1.977902889251709,11.168947219848633
4,0.29749882221221924,2.240037202835083,0.1788579523563385,3.3466992378234863,0.39811232686042786,1.5381641387939453,7.1249003410339355,0.1171548143029213,3.4267358779907227,0.046685751527547836,4.797221660614014,0.23585113883018494,2.142002582550049,10.365961074829102
5,0.36885324120521545,2.015664577484131,0.2492685168981552,2.9996016025543213,0.4330344498157501,1.4833900928497314,6.498655796051025,0.11341114342212677,5.027037143707275,0.035674963146448135,6.819095134735107,0.22065624594688416,3.006608724594116,14.852741241455078
6,0.4359603524208069,1.7949752807617188,0.3235488533973694,2.6709892749786377,0.4533270299434662,1.436775803565979,5.902740955352783,0.12155912816524506,4.580835819244385,0.04051971063017845,6.074088096618652,0.22351904213428497,2.8133654594421387,13.468287467956543
7,0.4996696412563324,1.5836988687515259,0.3909391164779663,2.362609624862671,0.4702218174934387,1.4005588293075562,5.346866130828857,0.1030609980225563,5.390744209289551,0.031270645558834076,7.143310546875,0.24245761334896088,3.450578451156616,15.984634399414062
8,0.5642284154891968,1.386572003364563,0.4531382620334625,2.082659959793091,0.480132132768631,1.3742573261260986,4.843491077423096,0.12640388309955597,5.496218204498291,0.035674963146448135,7.512678623199463,0.2514864504337311,3.9848392009735107,16.993736267089844
9,0.6203869581222534,1.2116135358810425,0.5108069777488708,1.8387925624847412,0.4862671196460724,1.3595625162124634,4.409970283508301,0.19246861338615417,3.8072311878204346,0.1120898500084877,5.1108269691467285,0.3232768177986145,1.7884716987609863,10.706528663635254
10,0.6763567924499512,1.0402475595474243,0.5693251490592957,1.6006120443344116,0.49466729164123535,1.3375868797302246,3.978445053100586,0.23893415927886963,3.248220443725586,0.12728473544120789,4.639766216278076,0.3593921959400177,1.6309235095977783,9.518912315368652
11,0.7202454209327698,0.9074621796607971,0.6168947815895081,1.4169082641601562,0.4996696412563324,1.3214305639266968,3.645801305770874,0.26976436376571655,3.8621959686279297,0.155252143740654,5.3065104484558105,0.40189385414123535,1.5776859521865845,10.746395111083984
12,0.7604530453681946,0.7804166674613953,0.6586125493049622,1.2432997226715088,0.5128834247589111,1.30341637134552,3.327131748199463,0.2994934916496277,3.340686798095703,0.18255890905857086,4.577723503112793,0.4543052315711975,1.4668917655944824,9.38530445098877
13,0.788579523563385,0.6789706945419312,0.694572925567627,1.1002634763717651,0.5211892127990723,1.28606116771698,3.0652964115142822,0.3131468892097473,3.4699318408966064,0.17639286816120148,4.783836841583252,0.4675181806087494,1.43733811378479,9.691102981567383
14,0.8296366333961487,0.5453861355781555,0.7429919838905334,0.9163491725921631,0.5327984690666199,1.253759741783142,2.715496063232422,0.4104822874069214,2.5229923725128174,0.26954415440559387,3.716320753097534,0.4393305480480194,1.4822460412979126,7.721561908721924
15,0.864558756351471,0.45320919156074524,0.7865974307060242,0.7807438969612122,0.5341198444366455,1.2301455736160278,2.464097261428833,0.4265580177307129,2.7296597957611084,0.28517946600914,3.8647637367248535,0.4314027726650238,1.4937846660614014,8.088211059570312
16,0.8947616815567017,0.3554345965385437,0.8188768029212952,0.6484556794166565,0.5555450916290283,1.196120023727417,2.2000105381011963,0.4353666603565216,3.0390803813934326,0.3135873079299927,4.394962787628174,0.5023122429847717,1.3238582611083984,8.75789737701416
17,0.9116564393043518,0.2969242036342621,0.8460594415664673,0.5608177185058594,0.5644171833992004,1.1740880012512207,2.0318312644958496,0.3684210479259491,3.047781467437744,0.2281435877084732,4.538642883300781,0.43404537439346313,1.4708846807479858,9.057305335998535
18,0.9407267570495605,0.22036877274513245,0.8856064081192017,0.43602991104125977,0.579424262046814,1.130433201789856,1.7868311405181885,0.45782867074012756,2.445934534072876,0.3012552261352539,3.797595977783203,0.46883946657180786,1.4269366264343262,7.670466899871826
19,0.9598867297172546,0.1550712287425995,0.9221330881118774,0.3159859776496887,0.5980179309844971,1.0845708847045898,1.5556280612945557,0.3565293848514557,3.437208414077759,0.2213168889284134,4.835564613342285,0.413345068693161,1.5588343143463135,9.831604957580566
20,0.9731005430221558,0.12166792154312134,0.9456347227096558,0.2455148845911026,0.6209532618522644,1.0324233770370483,1.3996063470840454,0.43911033868789673,3.0217645168304443,0.3384717106819153,3.780618667602539,0.424576073884964,1.5428897142410278,8.345271110534668
21,0.9834827780723572,0.08278794586658478,0.9664936065673828,0.17094121873378754,0.6445493102073669,0.9762463569641113,1.2299749851226807,0.5316009521484375,2.196502923965454,0.38295528292655945,3.4528555870056152,0.45606693625450134,1.573717474937439,7.223076820373535
22,0.9899953007698059,0.056481387466192245,0.9813119173049927,0.1203232854604721,0.672864556312561,0.9072088003158569,1.084012746810913,0.41114291548728943,3.2693471908569336,0.3124862313270569,4.105264663696289,0.47412464022636414,1.443591594696045,8.81820297241211
23,0.9943369626998901,0.03900713101029396,0.9903728365898132,0.08158830553293228,0.7075035572052002,0.824023962020874,0.9446191787719727,0.47720766067504883,2.501326084136963,0.36379653215408325,3.398468255996704,0.41664832830429077,1.866041660308838,7.765836715698242
24,0.9970740675926208,0.029611609876155853,0.9941481947898865,0.060470517724752426,0.7426144480705261,0.7395440340042114,0.82962566614151,0.524113655090332,2.659250259399414,0.42413565516471863,3.3749775886535645,0.4366879463195801,1.7174631357192993,7.7516913414001465
25,0.9970740675926208,0.025530032813549042,0.9972628355026245,0.046922557055950165,0.7783860564231873,0.6525346636772156,0.7249873280525208,0.48711737990379333,2.968186140060425,0.39396607875823975,3.7003073692321777,0.4534243643283844,1.7305768728256226,8.399070739746094
26,0.9974516034126282,0.024383217096328735,0.9966965317726135,0.0461527518928051,0.8162340521812439,0.565497875213623,0.6360340714454651,0.44483593106269836,3.1194822788238525,0.35102400183677673,3.878871440887451,0.3862585425376892,2.294463634490967,9.292818069458008
27,0.9960358738899231,0.029336869716644287,0.9932043552398682,0.054557785391807556,0.8382256031036377,0.49777597188949585,0.5816700458526611,0.3094032108783722,6.029604434967041,0.22792336344718933,6.329782962799072,0.3014754354953766,3.661285400390625,16.020668029785156
28,0.9636620879173279,0.12417800724506378,0.9443133473396301,0.2016061395406723,0.7900896668434143,0.6040698289871216,0.9298537969589233,0.34904205799102783,4.273777484893799,0.27284738421440125,5.160871982574463,0.4225941300392151,1.9947384595870972,11.429389953613281
29,0.9831052422523499,0.06935979425907135,0.9732893109321594,0.11722315102815628,0.8306748270988464,0.5167185068130493,0.7033012509346008,0.5681567788124084,2.019552707672119,0.4214930534362793,3.063155174255371,0.4234749972820282,2.1293294429779053,7.212037563323975
30,0.9916942119598389,0.04401436075568199,0.9866918325424194,0.07485705614089966,0.8651250600814819,0.4200143814086914,0.5388854146003723,0.44593700766563416,3.266050100326538,0.3325258791446686,4.219768047332764,0.36996257305145264,2.5236127376556396,10.009431838989258
31,0.990278422832489,0.04196464642882347,0.988296389579773,0.06798110157251358,0.8921189308166504,0.35631632804870605,0.4662622809410095,0.4862365126609802,2.916780710220337,0.3283417820930481,4.505488395690918,0.4516626298427582,2.2470757961273193,9.669343948364258
32,0.9922605156898499,0.03469627723097801,0.9910334944725037,0.05480119585990906,0.9115620851516724,0.3011471629142761,0.3906445801258087,0.4842545688152313,3.1266510486602783,0.34199514985084534,4.524118423461914,0.524113655090332,1.949485182762146,9.60025691986084
33,0.9907503724098206,0.03856801986694336,0.9905616044998169,0.056614235043525696,0.9167531728744507,0.2832894027233124,0.3784715533256531,0.4833737015724182,2.916822910308838,0.3690817058086395,4.001552581787109,0.4096014201641083,3.071617364883423,9.989994049072266
