,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.0,1.0,0.0,0.0,0.2222222222222222,0.3,0.24444444444444446,0.24444444444444446
recall,0.0,0.5,0.0,0.0,1.0,0.3,0.3,0.3
f1-score,0.0,0.6666666666666666,0.0,0.0,0.3636363636363636,0.3,0.20606060606060606,0.20606060606060606
support,2.0,2.0,2.0,2.0,2.0,0.3,10.0,10.0
