,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.2,1.0,0.0,0.0,0.0,0.2,0.24,0.24
recall,0.5,0.5,0.0,0.0,0.0,0.2,0.2,0.2
f1-score,0.28571428571428575,0.6666666666666666,0.0,0.0,0.0,0.2,0.19047619047619047,0.19047619047619047
support,2.0,2.0,2.0,2.0,2.0,0.2,10.0,10.0
